epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.6631,0.74901,0.77778,1,0.62326,2e-05,2e-05,0.09802
2,27.7553,0.52403,0.77778,1,0.53442,4.99512e-05,4.99512e-05,0.09505
3,28.5097,0.4551,0.88889,1,0.46766,7.96877e-05,7.96877e-05,0.0920797
4,29.1966,0.34655,0.88889,1,0.37074,0.000109036,0.000109036,0.089109
5,29.7625,0.25457,0.88889,1,0.28822,0.000137823,0.000137823,0.0861378
6,30.3408,0.17794,0.88889,1,0.25056,0.000165881,0.000165881,0.0831659
7,31.0206,0.43562,1,1,0.22125,0.000193048,0.000193048,0.080193
8,31.5923,0.16088,1,1,0.20919,0.000219165,0.000219165,0.0772192
9,32.104,0.16497,0.88889,1,0.18054,0.000244081,0.000244081,0.0742441
10,32.5952,0.08086,0.88889,1,0.17213,0.000267653,0.000267653,0.0712677
11,33.1767,0.12696,0.88889,1,0.15103,0.000289748,0.000289748,0.0682897
12,33.6902,0.12803,1,1,0.12388,0.000310241,0.000310241,0.0653102
13,34.3732,0.0756,1,1,0.11361,0.000329019,0.000329019,0.062329
14,34.9185,0.06631,1,1,0.11125,0.000345979,0.000345979,0.059346
15,35.4559,0.03973,0.88889,1,0.13946,0.000361031,0.000361031,0.056361
16,35.9341,0.04232,0.88889,1,0.15722,0.000374098,0.000374098,0.0533741
17,36.4343,0.04566,0.88889,1,0.16844,0.000385117,0.000385117,0.0503851
18,36.9089,0.12134,0.88889,1,0.15648,0.000394038,0.000394038,0.047394
19,37.3681,0.03625,0.88889,1,0.14653,0.000400826,0.000400826,0.0444008
20,37.851,0.01078,0.88889,1,0.15714,0.000405461,0.000405461,0.0414055
21,38.3176,0.01813,0.88889,1,0.13209,0.000407937,0.000407937,0.0384079
22,38.7996,0.01338,0.88889,1,0.1127,0.000408266,0.000408266,0.0354083
23,39.291,0.00939,0.88889,1,0.10164,0.000406473,0.000406473,0.0324065
24,39.7884,0.01638,1,1,0.07728,0.000402598,0.000402598,0.0294026
25,40.349,0.01282,1,1,0.0803,0.0003967,0.0003967,0.0263967
26,40.9781,0.02572,1,1,0.06987,0.00038885,0.00038885,0.0233889
27,41.517,0.0162,1,1,0.05364,0.000379135,0.000379135,0.0203791
28,42.1765,0.01654,1,1,0.04532,0.000367657,0.000367657,0.0173677
29,42.7516,0.00658,1,1,0.04532,0.000354532,0.000354532,0.0143545
30,43.3166,0.04064,1,1,0.03881,0.00033989,0.00033989,0.0113399
31,43.8828,0.00604,1,1,0.04073,0.000323874,0.000323874,0.00832387
32,44.4379,0.00634,1,1,0.03597,0.000306639,0.000306639,0.00530664
33,44.968,0.1106,1,1,0.03597,0.000288354,0.000288354,0.00228835
34,45.5168,0.06427,1,1,0.0326,0.000266532,0.000266532,0.000266532
35,46.0392,0.05377,1,1,0.02803,0.000239766,0.000239766,0.000239766
36,46.5515,0.01015,1,1,0.02386,0.000214046,0.000214046,0.000214046
37,47.0641,0.00495,1,1,0.02386,0.000189475,0.000189475,0.000189475
38,47.5952,0.00453,1,1,0.02077,0.000166149,0.000166149,0.000166149
39,48.1449,0.00334,1,1,0.02182,0.000144161,0.000144161,0.000144161
40,48.6824,0.01338,1,1,0.02865,0.000123596,0.000123596,0.000123596
41,64.4628,0.06118,1,1,0.02865,0.000104537,0.000104537,0.000104537
42,65.2913,0.03084,1,1,0.05227,8.70577e-05,8.70577e-05,8.70577e-05
43,66.0194,0.00266,1,1,0.03176,7.12282e-05,7.12282e-05,7.12282e-05
44,66.6847,0.00872,1,1,0.03182,5.71106e-05,5.71106e-05,5.71106e-05
45,67.2889,0.00388,1,1,0.03182,4.47606e-05,4.47606e-05,4.47606e-05
46,67.8225,0.20562,1,1,0.03542,3.4227e-05,3.4227e-05,3.4227e-05
47,68.345,0.00459,1,1,0.0211,2.55513e-05,2.55513e-05,2.55513e-05
48,68.8781,0.00645,1,1,0.01836,1.87678e-05,1.87678e-05,1.87678e-05
49,69.3735,0.10855,1,1,0.01836,1.39032e-05,1.39032e-05,1.39032e-05
50,69.8863,0.00734,1,1,0.02117,1.09768e-05,1.09768e-05,1.09768e-05
